Element ID,X_Coordinate,Y_Coordinate,Z_Coordinate,Easting_Coordinate,Northing_Coordinate
750665,"8,629,066,112","1,310,161,486",1100,"8,629,066,112","1,310,161,486"
750670,"8,629,066,112","1,311,661,486",1100,"8,629,066,112","1,311,661,486"
750675,"8,629,066,112","1,313,161,486",1100,"8,629,066,112","1,313,161,486"
750680,"8,629,066,112","1,314,661,486",1100,"8,629,066,112","1,314,661,486"
750685,"8,729,066,112","1,319,086,692",1100,"8,729,066,112","1,319,086,692"
750690,"8,729,066,112","1,320,586,692",1100,"8,729,066,112","1,320,586,692"
750695,"8,672,148,496","1,310,161,486",1100,"8,672,148,496","1,310,161,486"
750700,"8,672,148,496","1,311,661,486",1100,"8,672,148,496","1,311,661,486"
750705,"8,672,148,496","1,313,161,486",1100,"8,672,148,496","1,313,161,486"
750710,"8,672,148,496","1,314,661,486",1100,"8,672,148,496","1,314,661,486"
750715,"8,772,148,496","1,319,086,692",1100,"8,772,148,496","1,319,086,692"
750720,"8,772,148,496","1,320,586,692",1100,"8,772,148,496","1,320,586,692"
750725,"8,679,066,112","1,310,161,486",1100,"8,679,066,112","1,310,161,486"
750730,"8,679,066,112","1,311,661,486",1100,"8,679,066,112","1,311,661,486"
750735,"8,679,066,112","1,313,161,486",1100,"8,679,066,112","1,313,161,486"
750740,"8,679,066,112","1,314,661,486",1100,"8,679,066,112","1,314,661,486"
750745,"8,779,066,112","1,319,086,692",1100,"8,779,066,112","1,319,086,692"
750750,"8,779,066,112","1,320,586,692",1100,"8,779,066,112","1,320,586,692"
752436,"7,696,849,194","1,301,660,099",1100,"7,696,849,194","1,301,660,099"
752441,"7,696,849,194","1,299,910,099",1100,"7,696,849,194","1,299,910,099"
752446,"7,630,962,633","1,315,389,164",1100,"7,630,962,633","1,315,389,164"
752451,"7,630,962,633","1,313,639,164",1100,"7,630,962,633","1,313,639,164"
752456,"7,699,852,112","1,301,660,099",1100,"7,699,852,112","1,301,660,099"
752461,"7,699,852,112","1,299,910,099",1100,"7,699,852,112","1,299,910,099"
752466,"7,633,965,551","1,315,389,164",1100,"7,633,965,551","1,315,389,164"
752471,"7,633,965,551","1,313,639,164",1100,"7,633,965,551","1,313,639,164"
752476,"9,195,486,007","1,327,963,231",1100,"9,195,486,007","1,327,963,231"
752481,"9,195,484,462","1,326,213,231",1100,"9,195,484,462","1,326,213,231"
752486,"9,244,486,174","1,326,212,889",1100,"9,244,486,174","1,326,212,889"
752491,"7,696,850,409","1,303,404,866",1100,"7,696,850,409","1,303,404,866"
752496,"9,198,488,925","1,327,963,204",1100,"9,198,488,925","1,327,963,204"
752501,"919,848,738","1,326,213,204",1100,"919,848,738","1,326,213,204"
752506,"9,247,489,091","1,326,212,863",1100,"9,247,489,091","1,326,212,863"
752511,"7,699,853,327","1,303,404,839",1100,"7,699,853,327","1,303,404,839"
755982,"9,244,486,645","1,315,455,016",1100,"9,244,486,645","1,315,455,016"
755987,"9,244,486,645","1,313,705,016",1100,"9,244,486,645","1,313,705,016"
755992,"9,244,486,645","1,311,955,016",1100,"9,244,486,645","1,311,955,016"
755997,"9,244,486,645","1,310,205,016",1100,"9,244,486,645","1,310,205,016"
756002,"9,247,489,563","1,315,455,016",1100,"9,247,489,563","1,315,455,016"
756007,"9,247,489,563","1,313,705,016",1100,"9,247,489,563","1,313,705,016"
756012,"9,247,489,563","1,311,955,016",1100,"9,247,489,563","1,311,955,016"
756017,"9,247,489,563","1,310,205,016",1100,"9,247,489,563","1,310,205,016"
756022,"9,195,486,645","1,315,455,016",1100,"9,195,486,645","1,315,455,016"
756027,"9,195,486,645","1,313,705,016",1100,"9,195,486,645","1,313,705,016"
756032,"9,195,486,645","1,311,955,016",1100,"9,195,486,645","1,311,955,016"
